"Active","Active"
"Add","Add"
"Date Created","Date Created"
"Delete","Delete"
"Description","Description"
"Language","Language"
"Login","Login"
"Modules","Modules"
"Name","Name"
"Password","Password"
"Products","Products"
"Search","Search"
"User","User"
"Value","Value"

"January","January"
"February","February"
"March","March"
"April","April"
"May","May"
"June","June"
"July","July"
"August","August"
"September","September"
"October","October"
"November","November"
"December","December"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
